Sample,Gen_0,Gen_2_30C,Gen_5_30C,Gen_8_30C,Gen_12_30C,Gen_15_30C
2750_1,30.5,33.7,39.68,42.53,47.8,64.72
2750_2,31.69,34.7,46.12,46.49,53.35,68.93
2750_3,33.94,40.8,50.48,53.52,60.44,73.47
