Generation,Strain,Median_B2A_Singlets,Median_FSCA_Singlets,MedianB2A_by_MedianFSCA,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine
68,DGY1741_2,609174.31,2329776,0.261473339,0.52,0.09,99.21
68,DGY1735_1,359091.69,2622458,0.136929434,0.64,3.17,96.49
68,DGY1743_2,343050.31,2650162.75,0.129444997,0.11,0.79,98.99
68,DGY1_3,1555.31,2297409.75,0.000676984,99.82,0.02,0
68,DGY1741_1,601554.81,2343502.5,0.256690492,0.09,0.09,99.63
68,DGY1919_2,333221.69,2442937.5,0.136402053,0.18,0.26,99.47
68,DGY1315_2,213403.06,2318950.75,0.092025697,0.09,0.39,99.73
68,DGY500_3,103766.16,2198907.25,0.047189876,0.02,95.47,5.28
68,DGY1743_1,322256.69,2531943.75,0.127276402,0,0.54,99.43
68,DGY1733_2,173090.17,2617007.5,0.066140494,0.12,86.97,17.72
68,DGY500_2,104284.83,2199856.75,0.047405282,0.04,95.4,5.22
68,DGY1315_3,201978.28,2191646.5,0.092158238,0,0.18,99.89
68,DGY1744_1,298782.88,2257972,0.132323554,0.07,0.54,99.36
68,DGY1_2,1519.93,2163673,0.000702477,99.96,0,0
68,DGY1735_2,373762.19,2658526.5,0.140589981,0.61,3.47,95.76
68,DGY1741_3,586452.88,2247017.5,0.260991683,0.49,0.2,98.97
68,DGY500_1,106333.29,2266565.5,0.046913839,0.07,95.99,4.6
68,DGY1743_3,361629.63,2755835.25,0.13122324,0.15,0.33,99.41
68,DGY1733_3,183321.7,2660479.75,0.068905505,0.48,78.49,28.27
68,DGY1919_1,319186.63,2359571.75,0.135273119,0.15,0.78,98.98
68,DGY1315_1,212139.94,2326670.25,0.091177484,0.02,1.25,99.07
68,DGY1744_3,333343.19,2522601.5,0.132142627,0.17,0.43,99.43
68,DGY1735_3,329234.19,2664750.5,0.123551601,5.66,13.71,80.18
68,DGY1_1,1671.23,2281672,0.000732458,99.93,0,0.02
68,DGY1919_3,334520.91,2481762.5,0.134791669,0.33,0.28,99.28
92,DGY1733_1,151683.23,2605682.5,0.058212476,0.26,96.08,3.82
92,DGY1744_2,293432.97,2291224,0.128068216,0.03,2.35,97.57
92,DGY1741_2,614578.56,2445580.75,0.251301684,0.12,0.04,99.75
92,DGY1735_1,279515.78,2604860.75,0.10730546,0.31,8.53,90.8
92,DGY1743_2,282187.03,2293195.75,0.123054052,0,1.7,98.28
92,DGY1_3,1545.17,2261876,0.000683136,99.98,0,0
92,DGY1741_1,581137.13,2391784,0.242972246,0.16,0.08,99.51
92,DGY1919_2,301216.13,2310018.5,0.130395549,0.07,0.45,99.46
92,DGY1315_2,193240.61,2186326,0.088386,0.04,1.65,98.37
92,DGY500_3,99858.34,2230403.5,0.044771424,0.07,95.92,3.92
92,DGY1743_1,299426.63,2406679.25,0.124414847,0.03,1.59,98.38
92,DGY1733_2,163728.5,2610436.75,0.062720731,0.18,94.18,5.86
92,DGY500_2,94798.73,2079811.25,0.045580449,0.11,96.99,2.86
92,DGY1315_3,191177.95,2130182.75,0.089747206,0.13,0.65,99.24
92,DGY1744_1,295706.78,2292243.25,0.129003229,0.1,1.09,98.75
92,DGY1_2,1499.55,2112050.25,0.000709997,99.96,0,0
92,DGY1735_2,308364.69,2630983,0.117205125,0.39,8.26,91.17
92,DGY1741_3,599303.63,2419432,0.247704267,0.17,0.2,99.36
92,DGY500_1,97577.95,2176063.75,0.044841494,0.07,96.1,3.99
92,DGY1743_3,295046.22,2295164.75,0.128551216,0.03,0.52,99.39
92,DGY1733_3,177033.72,2685581.25,0.065920076,0.25,87.83,12.37
92,DGY1919_1,301902.13,2323033.5,0.1299603,0.07,0.78,99.12
92,DGY1315_1,196508.75,2294582,0.085640326,0.07,5.76,94.61
92,DGY1744_3,312563.75,2387570,0.130912916,0.08,1.46,98.43
92,DGY1735_3,259021.25,2648134,0.097812743,0.35,27.87,71.5
92,DGY1_1,1667,2280220.25,0.00073107,99.95,0,0
92,DGY1919_3,319888.19,2409285.5,0.132773052,0.1,0.55,99.28
110,DGY1733_1,130125.09,2714876,0.047930399,0.38,87.89,10.96
110,DGY1744_2,259305.77,2272117.75,0.114125146,0.23,3.79,95.81
110,DGY1741_2,638211.75,2514884.25,0.253773807,0.35,0.15,97.35
110,DGY1735_1,222196.66,2635806,0.084299322,0.27,14.44,83.99
110,DGY1743_2,288771.31,2593535.25,0.111342736,0.08,3.76,95.95
110,DGY1_3,1573.04,2192331.5,0.000717519,99.81,0,0
110,DGY1741_1,608535.38,2434235.75,0.249990322,0.19,0.27,97.8
110,DGY1919_2,271502.91,2245022,0.120935523,0.37,3.41,95.87
110,DGY1315_2,183391.56,2270876.5,0.080758051,0.17,1.86,97.92
110,DGY500_3,91751.43,2137306,0.042928542,0.38,92.72,7.15
110,DGY1743_1,258978.61,2384086,0.108628049,0.15,4.05,95.5
110,DGY1733_2,140836.7,2683358,0.052485244,0.03,84.48,16.21
110,DGY500_2,94952.22,2213102.5,0.042904574,0.56,92.49,7.4
110,DGY1315_3,179108.84,2160154.5,0.082914829,0.23,1.54,98.14
110,DGY1744_1,245487.2,2147664.5,0.114304259,0.38,2.21,97.18
110,DGY1_2,1501.69,2061175.13,0.00072856,99.8,0.04,0.04
